lineup_id,P,C1B,2B,3B,SS,OF1,OF2,OF3,UTIL
51,p2,c2,b2b,b3a,ss1,of5,of2,of3,c1
52,p2,c2,b2b,b3a,ss1,of1,of2,of4,c1
53,p2,c1,b2a,b3b,ss2,of4,of5,of3,ut1
54,p1,c2,b2a,b3b,ss1,of2,of5,of4,c1
55,p2,ut1,b2b,b3a,ss1,of1,of2,of4,c1
56,p2,c1,b2b,b3b,ss2,of2,of5,of3,ut1
57,p2,c2,b2a,b3a,ss1,of1,of4,of2,ut1
58,p2,c1,b2b,b3b,ss2,of4,of5,of3,ut1
59,p1,c2,b2b,b3b,ss2,of2,of4,of5,b3a
60,p2,c1,b2b,b3a,ss2,of1,of2,of3,ss1
61,p1,c2,b2a,b3a,ss2,of1,of5,of2,ut2
62,p1,c1,ut2,b3b,ss1,of1,of3,of2,b2b
63,p1,c1,b2a,b3a,ss2,of1,of5,of4,c2
64,p1,c2,b2a,b3b,ss2,of1,of4,of2,of5
65,p1,c1,b2a,b3a,ss2,of2,of5,of4,c2
66,p2,c1,b2b,b3a,ss2,of1,of5,of3,ss1
67,p2,ut1,b2a,b3b,ss1,of1,of4,of2,ss2
68,p1,c1,b2b,b3b,ss2,of2,of5,of3,ut1
69,p2,c2,ut2,b3b,ss1,of2,of5,of1,c1
70,p2,c2,b2b,b3b,ss1,of2,of5,of1,ut2
71,p1,c1,ut2,b3a,ss2,of1,of3,of2,ss1
72,p2,c1,b2a,b3b,ss1,of2,of5,of1,c2
73,p2,c1,b2a,b3b,ss2,of2,of5,of4,c2
74,p1,c1,b2a,b3b,ss2,of2,of5,of3,ut1
75,p2,c1,b2b,b3b,ss2,of1,of2,of5,ss1
76,p1,c1,b2b,b3a,ss1,of1,of3,of4,c2
77,p2,c2,b2a,b3b,ss2,of1,of2,of5,b3a
78,p2,c1,b2a,b3a,ss1,of1,of5,of4,c2
79,p1,c1,b2a,b3b,ss2,of1,of5,of3,ut1
80,p2,c2,b2a,b3a,ss1,of1,of3,of2,ut1
81,p2,c2,b2b,b3b,ss1,of2,of4,of1,c1
82,p2,c1,b2b,b3b,ss1,of2,of3,of5,b3a
83,p2,ut1,b2a,b3a,ss2,of3,of2,of5,ss1
84,p2,c2,b2a,b3a,ss1,of2,of1,of5,b2b
85,p2,ut1,b2b,b3a,ss1,of1,of2,of4,ss2
86,p2,c2,b2a,b3b,ss1,of3,of5,of1,ss2
87,p2,c1,ut2,b3a,ss2,of1,of2,of3,ss1
88,p1,c1,b2b,b3b,ss2,of3,of1,of4,ss1
89,p2,c2,b2b,b3b,ss1,of2,of5,of3,ut2
90,p2,ut1,b2b,b3a,ss1,of1,of2,of4,c2
91,p2,c1,b2b,b3b,ss1,of1,of5,of4,b3a
92,p2,c2,b2b,b3b,ss1,of2,of3,of5,b3a
93,p2,ut1,b2a,b3b,ss2,of3,of2,of5,ss1
94,p2,c1,b2a,b3a,ss1,of1,of5,of4,ss2
95,p1,c1,ut2,b3b,ss1,of1,of3,of5,b2b
96,p1,c1,ut2,b3a,ss2,of1,of4,of3,ss1
97,p1,c1,ut2,b3a,ss2,of1,of5,of4,c2
98,p1,ut1,b2b,b3b,ss1,of4,of3,of1,ss2
99,p1,c2,b2a,b3a,ss1,of2,of1,of4,b2b
100,p1,c2,b2a,b3a,ss1,of1,of2,of4,c1
101,p1,c1,b2b,b3b,ss2,of3,of1,of4,b2a
102,p1,c1,b2b,b3b,ss2,of2,of4,of1,b3a
103,p1,ut1,b2a,b3b,ss1,of1,of4,of3,b3a
104,p1,c1,b2b,b3b,ss1,of1,of4,of2,ut1
105,p1,c2,b2a,b3b,ut3,of1,of4,of2,of5
106,p1,c1,ut2,b3a,ss2,of1,of3,of5,ss1
107,p1,c1,b2b,b3a,ss2,of2,of3,of5,ss1
108,p2,c2,b2a,b3b,ss2,of2,of5,of3,ut1
109,p2,c1,b2a,b3a,ss1,of1,of4,of2,ut1
110,p1,ut1,b2a,b3a,ss1,of1,of2,of3,c1
111,p2,c1,b2a,b3a,ss1,of2,of5,of1,ut1
112,p1,c1,b2a,b3b,ss1,of3,of5,of1,ut3
113,p2,c1,b2a,b3b,ss2,of4,of5,of1,ut1
114,p2,c2,b2a,b3a,ss1,of2,of1,of3,ss2
115,p1,c2,b2a,b3b,ss2,of1,of4,of2,b2b
116,p1,c1,b2b,b3b,ss1,of2,of4,of5,b3a
117,p1,c1,ut2,b3b,ss2,of3,of1,of4,b2a
118,p1,c1,ut2,b3b,ss1,of1,of4,of2,b2b
119,p2,c2,b2a,b3a,ss1,of4,of1,of5,b2b
120,p2,c1,b2b,b3b,ss2,of2,of4,of3,ut1
121,p2,c2,b2a,b3b,ut3,of1,of4,of2,of5
122,p1,ut1,b2b,b3b,ss2,of2,of4,of5,b3a
123,p1,c1,b2b,b3b,ss2,of3,of1,of4,ut3
124,p2,c2,b2b,b3a,ss1,of1,of2,of5,c1
125,p1,c2,b2a,b3a,ss1,of3,of1,of5,b2b
126,p2,c1,b2a,b3a,ss2,of3,of2,of5,ss1
127,p2,c2,ut2,b3a,ss2,of1,of2,of3,ss1
128,p1,ut1,b2a,b3a,ss1,of1,of2,of3,of4
129,p2,c1,b2b,b3b,ss1,of4,of3,of5,b3a
130,p1,c1,b2a,b3a,ss1,of5,of1,of4,ut1
131,p2,c2,ut2,b3b,ut3,of2,of5,of1,c1
132,p2,c1,b2b,b3a,ss2,of4,of2,of5,ss1
133,p2,c2,b2a,b3b,ss1,of1,of4,of3,c1
134,p2,c1,b2a,b3a,ss1,of1,of3,of2,ut1
135,p2,c1,b2a,b3b,ss1,of1,of5,of3,b3a
136,p2,c2,b2a,b3a,ss1,of5,of3,of2,ut1
137,p1,c1,b2b,b3b,ss1,of3,of1,of4,ut3
138,p2,ut1,b2a,b3b,ss1,of1,of4,of3,b3a
139,p1,c1,ut2,b3a,ut3,of1,of4,of2,ss1
140,p2,c2,ut2,b3b,ss1,of2,of4,of1,c1
141,p2,c2,b2a,b3a,ss2,of1,of3,of2,ut1
142,p1,ut1,b2b,b3a,ss1,of1,of2,of3,of4
143,p1,c2,b2a,b3a,ss1,of2,of1,of3,b2b
144,p1,c1,b2b,b3a,ss2,of2,of5,of4,c2
145,p2,c1,b2b,b3b,ut3,of1,of2,of4,ut1
146,p2,ut1,b2a,b3a,ss1,of1,of2,of3,of4
147,p1,c1,ut2,b3a,ss1,of1,of5,of4,c2
148,p2,c1,b2a,b3a,ss1,of5,of3,of2,ut1
149,p1,c2,b2b,b3b,ss2,of3,of1,of4,ut3
150,p1,c1,b2b,b3a,ss2,of3,of1,of5,ss1
151,p2,c1,b2b,b3b,ss1,of1,of2,of4,ut2
152,p2,c1,ut2,b3a,ss1,of1,of3,of2,ut1
153,p2,c2,b2a,b3a,ss2,of1,of3,of2,of4
154,p2,c1,b2b,b3a,ss2,of4,of5,of3,ut1
155,p1,c1,b2b,b3b,ss2,of2,of1,of4,ut3
156,p2,c2,b2a,b3b,ss1,of1,of2,of4,b3a
157,p2,ut1,b2a,b3a,ss1,of5,of2,of3,of4
158,p2,c1,b2b,b3b,ss1,of2,of5,of3,ut2
159,p1,c2,b2a,b3a,ut3,of2,of1,of5,b2b
160,p1,c2,b2a,b3a,ut3,of2,of3,of5,b2b
161,p1,c2,b2a,b3a,ss2,of3,of5,of2,ut2
162,p2,c2,b2b,b3b,ut3,of1,of2,of4,ut1
163,p2,c2,b2a,b3b,ss2,of4,of5,of3,ut1
164,p2,c1,ut2,b3a,ss1,of1,of3,of2,of5
165,p2,c2,b2a,b3a,ss2,of5,of3,of2,ut1
166,p1,ut1,b2b,b3b,ss2,of2,of1,of5,b3a
167,p2,c1,b2b,b3b,ut3,of4,of5,of3,ut1
168,p2,c2,ut2,b3b,ss1,of3,of4,of1,c1
169,p1,c2,b2b,b3b,ss1,of3,of5,of4,c1
170,p2,c1,ut2,b3b,ss1,of1,of5,of4,b3a
171,p2,c1,b2a,b3b,ss2,of4,of5,of1,ss1
172,p1,c1,ut2,b3a,ss2,of2,of5,of4,c2
173,p2,c2,b2a,b3a,ss1,of1,of2,of3,c1
174,p1,c2,b2a,b3a,ss2,of2,of5,of4,of1
175,p1,c1,b2b,b3b,ss2,of3,of1,of2,b2a
176,p1,ut1,b2b,b3a,ss1,of2,of3,of1,ss2
177,p2,c1,ut2,b3b,ss1,of1,of2,of4,ut1
178,p1,c1,b2b,b3b,ss1,of1,of4,of5,b3a
179,p1,c2,b2b,b3b,ss2,of3,of5,of4,c1
180,p2,ut1,b2a,b3b,ss2,of1,of2,of4,b3a
181,p1,c1,b2b,b3b,ss2,of2,of1,of5,ut3
182,p1,ut1,b2b,b3a,ss1,of1,of2,of4,ss2
183,p2,c2,b2b,b3b,ss2,of3,of5,of4,c1
184,p2,c2,b2b,b3b,ss1,of2,of3,of1,ut2
185,p2,c2,b2a,b3b,ut3,of2,of5,of4,c1
186,p2,c2,b2b,b3b,ss1,of2,of5,of4,c1
187,p1,c1,b2a,b3b,ss2,of2,of4,of1,ut3
188,p2,c1,b2a,b3b,ss1,of1,of2,of4,ut2
189,p1,c2,b2a,b3b,ss1,of2,of1,of4,b2b
190,p1,c1,ut2,b3b,ss2,of3,of1,of2,b2a
191,p1,c2,b2a,b3b,ss2,of1,of5,of3,ut1
192,p2,c1,b2a,b3a,ss1,of1,of2,of4,c2
193,p1,ut1,ut2,b3a,ss1,of1,of2,of4,ss2
194,p1,c2,b2b,b3a,ss1,of1,of2,of3,c1
195,p1,c2,b2a,b3b,ss2,of5,of4,of2,b2b
196,p1,ut1,b2b,b3b,ss2,of2,of1,of4,ut3
197,p2,c2,b2b,b3b,ss1,of1,of2,of4,ss2
198,p2,c2,b2b,b3b,ss1,of2,of3,of4,ut2
199,p1,c2,b2a,b3a,ss1,of3,of1,of4,b2b
200,p1,c2,b2b,b3b,ss2,of3,of2,of4,ut3
201,p1,c1,b2a,b3a,ss1,of2,of1,of4,ut1
202,p1,c1,b2a,b3a,ss2,of2,of5,of4,of1
203,p1,ut1,b2a,b3a,ss1,of1,of5,of4,c2
204,p2,c1,b2b,b3b,ut3,of1,of2,of4,b2a
205,p1,c1,ut2,b3b,ss2,of1,of3,of2,ss1
206,p1,ut1,b2a,b3a,ut3,of2,of3,of5,b2b
207,p2,c1,b2b,b3a,ut3,of1,of2,of4,ut1
208,p1,c1,b2b,b3b,ss1,of4,of3,of5,b3a
209,p2,ut1,ut2,b3b,ut3,of2,of5,of1,c1
210,p1,c1,b2b,b3b,ss1,of3,of5,of1,ut3
211,p1,c1,b2a,b3b,ss1,of1,of5,of3,b3a
212,p2,c1,b2b,b3a,ss1,of2,of5,of3,ut2
213,p1,c1,b2b,b3b,ut3,of2,of3,of5,b3a
214,p2,c1,b2b,b3a,ss2,of4,of2,of5,c2
215,p1,c1,ut2,b3b,ss2,of1,of3,of5,ss1
216,p1,c1,b2b,b3b,ut3,of2,of3,of5,ss2
217,p1,c1,ut2,b3a,ss2,of1,of3,of4,c2
218,p2,c2,b2b,b3b,ss1,of2,of5,of4,ut2
219,p1,c1,b2b,b3b,ut3,of2,of4,of1,b3a
220,p1,c2,b2b,b3b,ss2,of3,of2,of4,c1
221,p2,ut1,b2a,b3b,ss2,of2,of3,of4,c2
222,p1,ut1,b2b,b3a,ss1,of1,of2,of4,c2
223,p2,c1,b2b,b3b,ss2,of3,of1,of4,ss1
224,p2,c2,b2a,b3a,ss1,of2,of1,of5,ut1
225,p1,ut1,b2a,b3a,ut3,of2,of4,of5,b2b
226,p2,c1,b2b,b3b,ut3,of1,of2,of4,of3
227,p1,c1,ut2,b3b,ss2,of2,of5,of1,ut3
228,p2,ut1,b2b,b3a,ss1,of1,of2,of5,ss2
229,p2,ut1,b2b,b3a,ss2,of4,of2,of5,c2
230,p1,ut1,b2b,b3b,ss2,of2,of1,of4,ut2
231,p1,c1,b2a,b3a,ss2,of5,of1,of2,ut1
232,p1,c1,ut2,b3b,ss2,of2,of5,of4,c2
233,p1,c1,b2b,b3a,ss2,of4,of2,of5,ss1
234,p2,c1,b2b,b3b,ss1,of1,of3,of5,b3a
235,p2,c2,b2a,b3b,ss1,of3,of5,of4,ss2
236,p1,c1,b2b,b3b,ss2,of3,of4,of5,b3a
237,p1,ut1,b2b,b3b,ss1,of2,of1,of4,ut2
238,p2,c1,b2b,b3a,ss2,of1,of2,of3,b2a
239,p1,ut1,b2b,b3b,ss1,of2,of1,of4,of3
240,p2,c2,b2b,b3b,ss1,of3,of5,of4,c1
241,p1,c2,b2a,b3b,ss2,of3,of5,of4,c1
242,p1,c2,b2b,b3a,ss1,of3,of5,of4,c1
243,p1,c2,b2a,b3a,ss1,of2,of1,of3,ut2
244,p1,c1,b2b,b3b,ss2,of1,of4,of2,ut1
245,p2,c1,b2b,b3a,ss2,of1,of5,of3,ut2
246,p2,c1,b2a,b3a,ss1,of2,of4,of5,b3b
247,p2,ut1,b2a,b3a,ss1,of2,of1,of5,b2b
248,p1,c2,b2b,b3b,ut3,of2,of5,of4,c1
249,p1,ut1,b2a,b3a,ss2,of2,of5,of4,c2
250,p2,ut1,b2b,b3a,ss1,of1,of2,of3,ss2
251,p2,c2,b2a,b3a,ss1,of1,of3,of5,ut1
252,p2,c1,b2a,b3a,ss2,of1,of2,of3,b3b
253,p1,c2,b2b,b3a,ss2,of2,of3,of1,ss1
254,p2,c1,b2a,b3b,ss2,of2,of5,of3,ut3
255,p2,ut1,b2b,b3a,ss1,of1,of3,of5,ss2
256,p2,ut1,ut2,b3b,ss1,of1,of4,of3,b3a
257,p1,c2,b2a,b3b,ut3,of1,of4,of2,b2b
258,p1,c1,b2a,b3b,ss2,of2,of4,of1,b3a
259,p2,c2,b2b,b3b,ss1,of4,of5,of3,ut2
260,p1,c1,b2b,b3a,ss1,of2,of4,of5,c2
261,p1,ut1,b2b,b3a,ss2,of5,of4,of1,c2
262,p1,c1,b2b,b3b,ss2,of3,of1,of5,b2a
263,p1,c1,b2a,b3b,ss2,of1,of5,of4,ut1
264,p1,c1,b2a,b3b,ss1,of1,of3,of4,b2b
265,p1,c1,ut2,b3b,ss2,of1,of4,of5,ss1
266,p1,c2,b2b,b3b,ss2,of1,of5,of4,c1
267,p1,c2,b2a,b3a,ss2,of1,of3,of2,c1
268,p2,c2,b2b,b3b,ut3,of2,of5,of4,c1
269,p2,ut1,b2a,b3a,ss1,of5,of1,of3,of4
270,p2,c2,ut2,b3b,ss1,of3,of4,of1,b3a
271,p1,ut1,ut2,b3a,ss1,of1,of2,of3,c1
272,p1,c2,b2a,b3a,ss1,of5,of1,of4,b2b
273,p1,c1,ut2,b3a,ss2,of1,of4,of2,of5
274,p1,ut1,b2b,b3a,ss2,of2,of4,of1,c2
275,p2,ut1,b2a,b3b,ut3,of2,of5,of4,c1
276,p1,c2,b2a,b3b,ut3,of1,of4,of2,ut1
277,p2,c1,b2a,b3b,ss1,of1,of2,of4,of5
278,p2,c2,b2a,b3b,ss1,of2,of4,of1,ss2
279,p1,c1,ut2,b3a,ss2,of1,of5,of4,ut3
280,p1,c1,b2a,b3b,ss1,of1,of3,of5,b2b
281,p1,c2,ut2,b3a,ss2,of1,of2,of3,ss1
282,p2,c2,b2a,b3a,ss2,of1,of5,of2,ut1
283,p1,c2,b2a,b3a,ss2,of5,of4,of2,b2b
284,p1,ut1,b2b,b3a,ss2,of5,of4,of2,c2
285,p2,c1,ut2,b3b,ss1,of1,of2,of4,of5
286,p1,ut1,b2b,b3b,ss2,of2,of4,of1,b3a
287,p1,c1,b2b,b3b,ss2,of3,of1,of2,of5
288,p2,c2,b2b,b3b,ss2,of4,of5,of3,ut1
289,p1,c1,b2b,b3b,ss2,of3,of4,of2,of5
290,p1,c1,b2a,b3a,ss2,of2,of5,of1,ut3
291,p1,c2,b2a,b3a,ss2,of1,of5,of2,of3
292,p1,ut1,b2a,b3a,ss1,of1,of5,of4,of3
293,p2,c2,b2a,b3b,ss1,of2,of4,of1,ut1
294,p2,ut1,ut2,b3b,ut3,of3,of5,of1,c1
295,p1,ut1,b2a,b3a,ss2,of3,of5,of2,ut2
296,p2,c1,b2a,b3a,ss2,of1,of5,of2,ut1
297,p2,c2,ut2,b3b,ut3,of2,of4,of1,c1
298,p2,c2,ut2,b3b,ss1,of1,of2,of4,ss2
299,p1,c2,b2a,b3a,ss1,of3,of2,of5,b2b
300,p1,c1,b2a,b3a,ss1,of5,of3,of2,ut1
301,p1,c1,b2b,b3b,ss1,of2,of5,of3,ut1
302,p2,c2,b2b,b3a,ss2,of1,of2,of3,ss1
303,p2,ut1,b2a,b3b,ss1,of1,of2,of3,of4
304,p2,c2,ut2,b3a,ss2,of1,of5,of2,ut1
305,p1,c1,b2a,b3a,ss2,of4,of1,of2,ut1
306,p1,c2,ut2,b3a,ss2,of1,of2,of5,ss1
307,p1,ut1,b2a,b3a,ss1,of3,of5,of4,c2
308,p1,c2,ut2,b3a,ss2,of1,of5,of3,ss1
309,p2,c2,b2a,b3a,ss2,of1,of4,of2,ut1
310,p2,c1,ut2,b3a,ss1,of1,of3,of2,b2b
311,p1,c2,b2b,b3a,ss1,of4,of2,of3,c1
312,p1,c1,ut2,b3a,ss1,of2,of5,of4,c2
313,p2,c2,b2a,b3a,ss2,of1,of5,of3,ut1
314,p1,c1,ut2,b3b,ss1,of4,of3,of2,b2b
315,p2,c2,b2b,b3b,ss1,of1,of2,of4,ut1
316,p2,c1,b2a,b3a,ss2,of1,of2,of4,b3b
317,p1,ut1,b2a,b3b,ss2,of2,of5,of1,ut3
318,p1,ut1,b2b,b3b,ut3,of4,of3,of1,ss2
319,p1,c2,b2a,b3a,ss2,of2,of3,of4,of1
320,p2,c1,b2a,b3b,ss2,of1,of5,of2,ut1
321,p2,c2,b2a,b3b,ss2,of1,of4,of2,c1
322,p1,c2,b2a,b3b,ut3,of3,of1,of5,c1
323,p1,ut1,b2a,b3b,ss2,of2,of4,of1,ut3
324,p2,c2,b2a,b3b,ss1,of1,of2,of5,b3a
325,p1,ut1,b2b,b3b,ss1,of2,of1,of4,b2a
326,p2,c2,b2a,b3a,ss2,of1,of3,of5,of4
327,p1,ut1,b2b,b3b,ss2,of2,of1,of4,c2
328,p1,ut1,b2b,b3a,ss1,of2,of3,of1,of5
329,p2,ut1,b2a,b3b,ss1,of1,of2,of3,b2b
330,p2,ut1,b2b,b3a,ss2,of4,of1,of5,c2
331,p1,c1,b2a,b3b,ss1,of1,of2,of4,ut2
332,p2,ut1,b2b,b3a,ss2,of4,of1,of5,ut2
333,p1,c1,b2a,b3b,ss1,of3,of2,of1,ut3
334,p1,ut1,b2a,b3a,ss2,of3,of5,of1,ut2
335,p1,ut1,ut2,b3b,ss1,of2,of1,of4,b2a
336,p1,c1,b2b,b3b,ss1,of2,of1,of4,ut3
337,p2,c2,b2b,b3b,ss1,of1,of3,of5,b3a
338,p2,c2,b2a,b3a,ss1,of3,of1,of4,b2b
339,p2,c2,ut2,b3b,ss2,of1,of2,of3,ss1
340,p1,c2,b2b,b3b,ss2,of3,of5,of1,c1
341,p2,ut1,b2b,b3a,ss1,of1,of2,of4,ut3
342,p1,c1,ut2,b3b,ss1,of1,of5,of2,b2b
343,p2,c2,b2a,b3a,ss1,of3,of1,of5,b2b
344,p1,c1,b2a,b3a,ss1,of1,of3,of5,b2b
345,p1,ut1,b2a,b3a,ss1,of1,of5,of4,ut3
346,p1,c1,b2b,b3b,ss1,of4,of3,of1,b3a
347,p2,c2,b2b,b3a,ss1,of1,of3,of4,c1
348,p2,c1,b2b,b3b,ss1,of1,of2,of4,of5
349,p2,c1,b2a,b3b,ss1,of1,of3,of4,of5
350,p1,c2,b2b,b3b,ss1,of2,of3,of5,b3a
351,p2,ut1,b2a,b3b,ss2,of2,of3,of4,ut2
352,p2,ut1,ut2,b3b,ut3,of3,of5,of4,c1
353,p2,c2,b2b,b3a,ss1,of2,of3,of1,ut2
354,p2,c1,b2a,b3b,ss1,of2,of5,of1,ut3
355,p2,c2,b2b,b3a,ss1,of4,of5,of3,ut2
356,p2,ut1,ut2,b3b,ut3,of3,of4,of1,c1
357,p2,c2,b2a,b3a,ss2,of3,of2,of5,ss1
358,p1,c1,b2b,b3b,ss2,of2,of4,of5,b2a
359,p2,c2,ut2,b3a,ss1,of5,of3,of2,ut1
360,p1,c2,ut2,b3a,ut3,of1,of4,of2,ss1
361,p1,c2,ut2,b3a,ss1,of4,of2,of3,c1
362,p2,ut1,b2b,b3b,ss1,of1,of2,of3,ss2
363,p2,c2,b2b,b3b,ss1,of2,of4,of3,c1
364,p1,c2,b2a,b3b,ss2,of4,of5,of3,ut1
365,p1,c2,b2a,b3a,ss2,of2,of5,of1,ut3
366,p2,c2,b2b,b3a,ss1,of1,of5,of4,ss2
367,p2,ut1,ut2,b3a,ss1,of1,of3,of5,ss2
368,p1,ut1,b2a,b3a,ss2,of4,of5,of1,ut2
369,p1,c2,b2a,b3a,ss1,of3,of4,of5,b2b
370,p1,c1,ut2,b3b,ss2,of1,of4,of3,ss1
371,p1,c1,b2a,b3a,ss1,of2,of5,of1,ut3
372,p2,c2,b2b,b3b,ut3,of1,of4,of2,of5
373,p2,c2,b2b,b3a,ss2,of1,of3,of2,of4
374,p1,c2,ut2,b3a,ss1,of1,of2,of3,c1
375,p2,c2,b2a,b3a,ss1,of1,of3,of4,ut1
376,p2,c2,b2b,b3a,ut3,of1,of2,of4,ut1
377,p2,ut1,ut2,b3a,ss2,of3,of2,of5,ss1
378,p2,c1,b2b,b3b,ut3,of2,of5,of3,ut1
379,p2,ut1,ut2,b3a,ss1,of1,of3,of5,b2b
380,p1,c1,ut2,b3b,ss1,of3,of1,of2,b2a
381,p2,ut1,b2a,b3b,ut3,of2,of3,of4,ut2
382,p1,c1,ut2,b3a,ss1,of2,of5,of4,ss2
383,p1,c2,b2b,b3b,ut3,of1,of5,of4,c1
384,p1,c2,b2a,b3b,ut3,of1,of4,of3,of5
385,p2,c1,b2a,b3b,ss1,of1,of3,of5,b2b
386,p2,c2,b2b,b3a,ut3,of4,of5,of3,ut2
387,p1,c1,b2a,b3a,ss2,of3,of1,of2,ut1
388,p2,c1,b2a,b3b,ss1,of1,of2,of4,ut3
389,p1,c1,b2b,b3b,ss1,of3,of1,of4,ut2
390,p2,c2,b2b,b3b,ut3,of2,of5,of4,ut2
391,p1,c1,b2a,b3b,ss2,of2,of4,of1,b2b
392,p1,c1,ut2,b3a,ut3,of1,of4,of5,ss1
393,p1,ut1,b2b,b3b,ut3,of2,of1,of4,c2
394,p2,ut1,ut2,b3b,ss2,of1,of2,of3,ss1
395,p1,c1,ut2,b3a,ut3,of2,of5,of4,c2
396,p2,c2,b2b,b3b,ss1,of3,of5,of1,c1
397,p2,c2,ut2,b3b,ss1,of2,of4,of3,c1
398,p1,c1,b2a,b3b,ut3,of1,of5,of4,ut1
399,p1,ut1,b2a,b3a,ut3,of2,of1,of5,b2b
400,p1,c2,b2a,b3b,ut3,of2,of4,of3,of5
401,p2,c1,b2a,b3a,ss1,of2,of1,of5,ss2
402,p2,c1,ut2,b3b,ss2,of2,of5,of3,ut1
403,p2,c2,b2a,b3b,ss1,of2,of5,of1,ut3
404,p1,ut1,b2b,b3b,ss2,of1,of5,of4,c1
405,p1,c2,b2a,b3b,ss1,of2,of3,of4,ut2
406,p2,ut1,b2a,b3b,ut3,of1,of4,of2,ss2
407,p1,c2,ut2,b3a,ss2,of2,of5,of4,ss1
408,p1,ut1,b2b,b3b,ss2,of3,of5,of4,c1
409,p2,c2,ut2,b3a,ss1,of1,of3,of4,c1
410,p1,c2,b2b,b3b,ss1,of4,of3,of5,b3a
411,p1,c2,b2a,b3a,ss2,of2,of1,of5,b2b
412,p1,ut1,b2b,b3b,ut3,of3,of5,of4,c1
413,p1,c2,b2a,b3b,ss2,of3,of5,of2,ut3
414,p2,c2,b2a,b3b,ss1,of2,of4,of5,ss2
415,p2,c1,b2a,b3b,ss2,of2,of5,of1,ut3
416,p1,ut1,b2a,b3b,ut3,of3,of1,of5,c1
417,p2,c2,b2a,b3a,ut3,of2,of1,of5,b2b
418,p1,c2,b2b,b3b,ss1,of1,of3,of2,ut1
419,p2,c1,ut2,b3b,ut3,of1,of2,of4,b2a
420,p2,c2,ut2,b3b,ss1,of3,of5,of4,ss2
421,p2,ut1,b2b,b3b,ss1,of1,of4,of2,ss2
422,p2,c2,b2b,b3a,ss1,of2,of5,of1,ut2
