mean,std,p75,p90,p99,top_50pct_rate,top_10pct_rate,top_1pct_rate,lineup_id,rank_p99
93.61031,19.804117,106.40773,118.707756,139.6849,0.578,0.166,0.031,133,884
93.691956,19.765287,107.34013,118.33452,139.29713,0.592,0.173,0.024,134,833
93.937935,20.83273,107.870415,119.13007,144.98444,0.58,0.208,0.048,135,1093
91.70975,18.49081,104.12219,115.20319,134.98058,0.524,0.092,0.007,136,95
91.5041,18.612658,104.18245,115.9303,135.77951,0.527,0.109,0.008,137,397
91.84247,20.882347,106.48601,118.44249,140.75842,0.502,0.18,0.034,138,61
91.59828,17.979595,103.772545,115.3756,132.6085,0.515,0.102,0.003,139,1952
93.00231,18.571644,105.07944,116.38393,137.53052,0.571,0.112,0.006,140,963
92.05026,18.687746,105.03389,115.75708,135.9896,0.543,0.1,0.01,141,1971
91.74095,18.333025,103.82648,115.34801,135.26505,0.526,0.07,0.007,142,1155
93.84504,18.901905,107.38869,119.174904,136.8229,0.598,0.137,0.01,143,987
93.3173,19.487907,106.42524,118.60976,139.20192,0.573,0.187,0.031,144,514
90.49794,17.905796,102.91319,113.87424,132.4367,0.461,0.075,0.003,145,1222
91.41463,19.45388,105.310646,115.24678,137.21829,0.514,0.115,0.005,146,1895
93.037186,18.168226,104.59823,115.87672,135.81781,0.59,0.11,0.007,147,1768
92.36415,19.115868,106.09712,116.04945,137.78983,0.544,0.14,0.011,148,134
89.862404,17.77367,101.99303,112.24508,131.77652,0.461,0.06,0.004,149,720
93.710754,18.421513,105.79358,117.296745,138.59111,0.599,0.125,0.012,150,117
91.70617,18.428917,103.73467,115.221115,134.21582,0.525,0.077,0.002,151,270
91.591034,18.466612,104.03143,115.01513,132.83437,0.509,0.08,0.002,152,1184
91.70528,19.340942,105.555534,115.25125,136.0837,0.531,0.117,0.006,153,976
89.72073,18.051626,101.38632,114.23814,132.02112,0.433,0.08,0.008,154,80
92.00974,17.877806,103.95783,115.42048,133.4934,0.544,0.101,0.003,155,714
94.61334,19.14452,107.97554,118.91263,138.21748,0.655,0.157,0.009,156,943
90.08682,18.800991,102.549164,112.68221,133.01653,0.451,0.083,0.004,157,344
90.0422,17.866884,102.185394,113.43742,131.19775,0.458,0.062,0.005,158,1454
91.51633,18.212458,104.91015,115.41652,133.70099,0.522,0.1,0.006,159,556
89.68922,18.543156,103.15791,113.7574,131.54294,0.455,0.096,0.012,160,1754
89.928375,18.66006,102.352684,115.16666,133.38849,0.455,0.111,0.01,161,77
89.84354,18.225924,102.22668,113.089905,130.16309,0.44,0.069,0.008,162,551
89.362885,17.72555,101.41978,112.62486,131.20772,0.425,0.058,0.004,163,112
91.40916,18.222464,104.26272,114.000534,134.93639,0.505,0.079,0.006,164,1903
90.72246,18.169056,103.32826,113.95675,131.81685,0.495,0.081,0.007,165,113
92.83758,19.04874,105.707214,117.06071,138.23991,0.565,0.151,0.022,166,7
87.6772,17.844776,99.49481,111.26244,129.56288,0.384,0.058,0.004,167,618
91.50938,18.605482,103.4683,115.96795,133.2448,0.508,0.091,0.006,168,71
92.608826,18.23608,104.20469,116.24535,137.5619,0.551,0.117,0.007,169,55
92.17318,19.165253,105.129196,116.86756,138.18022,0.531,0.133,0.012,170,1619
93.51779,19.379211,106.992805,118.42143,138.88676,0.588,0.156,0.019,171,111
91.71574,18.790981,104.00676,116.38208,137.50275,0.524,0.149,0.022,172,225
94.969894,19.55396,108.494835,118.94542,146.19847,0.636,0.19,0.024,173,1811
93.030266,18.415468,105.83359,117.510666,137.03363,0.564,0.13,0.01,174,1666
93.30932,18.391548,106.15814,117.50539,137.27596,0.585,0.128,0.011,175,66
92.772064,18.692278,105.39341,117.06403,138.30026,0.58,0.106,0.008,176,1102
91.72438,19.008951,105.36909,115.63863,134.65306,0.531,0.112,0.01,177,1606
94.60044,19.389698,107.63828,119.54432,143.4934,0.613,0.194,0.034,178,252
91.621544,17.978779,102.47696,115.13105,135.08455,0.535,0.112,0.008,179,24
92.34812,18.423119,105.44824,116.344406,134.1092,0.55,0.096,0.006,180,392
92.17286,17.84255,104.31326,114.974525,133.37672,0.538,0.105,0.009,181,19
93.10823,18.742365,105.66231,117.148735,138.40576,0.583,0.122,0.012,182,461
90.79586,17.984669,102.51442,113.099754,134.09013,0.494,0.079,0.01,183,1421
90.7156,19.475063,103.320206,115.69827,137.9584,0.479,0.11,0.017,184,650
90.94744,17.864641,103.36645,113.36508,133.68686,0.484,0.091,0.01,185,1147
93.276085,18.513733,105.92222,116.50345,137.54361,0.577,0.131,0.01,186,60
92.5091,18.078537,104.4559,115.98602,133.75195,0.557,0.116,0.008,187,1458
92.20553,18.661655,105.249535,115.14064,135.50673,0.546,0.104,0.005,188,127
93.97839,19.024725,106.8194,118.43767,140.23373,0.601,0.151,0.016,189,1791
91.70775,17.793152,103.75706,114.75922,132.33704,0.527,0.084,0.005,190,85
91.6795,18.478146,104.04259,116.05389,136.19417,0.519,0.114,0.013,191,1809
95.30606,19.472006,108.20423,119.89377,141.87491,0.652,0.189,0.027,192,1010
91.50666,18.229305,103.46311,114.62439,131.41194,0.52,0.093,0.005,193,1898
95.29622,18.980154,108.15919,119.81397,136.09634,0.669,0.187,0.017,194,1
91.6633,18.664139,103.66518,115.71747,139.04883,0.528,0.123,0.017,195,135
90.07741,17.985592,101.79076,113.77371,132.36902,0.48,0.077,0.003,196,1985
93.357666,19.879002,106.98169,118.272,142.92044,0.577,0.179,0.03,197,115
89.22467,18.594316,102.213104,113.39437,131.96219,0.425,0.065,0.006,198,1339
92.68826,18.80309,105.57987,116.870544,136.96725,0.567,0.112,0.011,199,1596
89.528244,18.583735,102.22597,113.90441,134.26955,0.467,0.102,0.011,200,312
94.85381,19.323317,107.75859,118.26025,140.16013,0.629,0.177,0.028,201,65
93.684654,18.586733,105.88468,117.86559,138.07416,0.599,0.154,0.013,202,436
93.20578,19.120487,104.97995,117.883575,140.73077,0.559,0.146,0.023,203,588
90.97909,18.38906,103.4771,115.18177,132.3884,0.492,0.088,0.009,204,1077
92.90002,18.152998,105.395706,116.349815,133.8833,0.557,0.116,0.008,205,145
88.41128,17.488806,99.75348,111.77221,129.31442,0.419,0.044,0.006,206,39
90.70076,18.183115,103.052505,114.2058,134.85535,0.481,0.086,0.009,207,1122
92.77333,18.792315,104.58371,117.265175,138.44208,0.548,0.136,0.017,208,997
89.059494,17.656847,101.4798,111.85673,127.88717,0.416,0.062,0.007,209,70
91.66722,18.745796,103.87167,116.2817,134.90755,0.524,0.119,0.014,210,617
94.763626,20.460398,108.012474,121.97227,142.09924,0.613,0.225,0.043,211,196
90.24502,17.937288,102.699875,113.53658,131.07785,0.464,0.064,0.004,212,765
91.10209,17.792,102.93022,114.50406,133.7099,0.493,0.096,0.013,213,105
92.49161,19.286417,105.74022,118.734795,137.45132,0.541,0.173,0.023,214,2
91.90637,18.404768,104.22004,116.27294,136.18048,0.538,0.109,0.015,215,631
90.345764,17.431877,101.58087,113.66297,133.2357,0.469,0.074,0.005,216,41
91.5506,18.611923,103.79473,116.0996,135.39261,0.527,0.12,0.015,217,894
89.723976,18.855326,102.957054,113.47275,135.70572,0.451,0.091,0.007,218,609
92.76606,18.24346,104.66965,117.06921,136.28659,0.562,0.121,0.021,219,35
92.61519,19.12047,105.033676,117.20922,137.31522,0.584,0.153,0.033,220,1752
90.356514,18.190813,103.03837,113.653984,133.88995,0.475,0.08,0.01,221,293
93.700066,19.002726,106.995766,118.70872,138.99962,0.609,0.146,0.018,222,348
92.51913,18.787605,104.27492,117.445564,137.31223,0.554,0.103,0.006,223,223
93.53686,19.230684,106.575806,117.97532,139.45845,0.606,0.127,0.014,224,402
88.74745,17.54801,100.57889,112.00854,129.51567,0.423,0.059,0.004,225,279
89.816765,18.102093,102.35396,113.933495,129.92793,0.467,0.06,0.005,226,664
90.5713,17.23707,102.14911,112.19462,130.71011,0.483,0.078,0.005,227,1620
92.44567,19.405344,105.54368,116.71732,135.26459,0.548,0.145,0.02,228,261
90.55928,18.618877,103.2742,116.003105,132.4661,0.482,0.103,0.012,229,1167
89.612236,18.737368,102.096886,114.170105,133.09972,0.467,0.092,0.013,230,317
94.029655,18.147133,106.10806,116.84633,140.74371,0.618,0.123,0.019,231,81
91.512924,18.058628,103.44177,115.10026,134.95367,0.529,0.113,0.011,232,347
93.71277,18.431181,106.00777,118.20697,137.76329,0.593,0.142,0.014,233,53
93.438576,19.582478,105.94338,118.219345,140.05609,0.588,0.156,0.019,234,1966
91.036285,18.235687,102.4422,114.63519,134.42964,0.5,0.081,0.004,235,565
91.78604,18.055935,103.18164,116.10912,135.43071,0.523,0.103,0.014,236,339
90.599525,19.266203,103.99285,115.24194,135.2869,0.489,0.113,0.013,237,172
92.686455,19.581259,105.882416,117.73983,141.4254,0.548,0.149,0.025,238,1769
91.53813,19.071012,104.61493,116.92135,135.1855,0.519,0.096,0.004,239,349
91.78314,18.403366,103.66716,115.70334,134.87976,0.529,0.098,0.008,240,355
92.1209,18.057886,103.765366,115.74462,135.89812,0.536,0.108,0.011,241,1859
92.81165,18.57813,105.711105,116.493706,136.79332,0.585,0.122,0.015,242,916
92.24347,18.292925,104.97777,116.02428,135.32237,0.555,0.082,0.005,243,299
93.164345,18.43533,105.88977,116.705956,136.48366,0.594,0.121,0.011,244,1948
89.59189,17.80365,101.02516,112.792046,131.52638,0.438,0.07,0.003,245,1112
93.93995,19.208254,107.62073,117.58087,136.51811,0.6,0.16,0.027,246,1462
92.24071,19.125563,104.968704,116.4961,136.13661,0.556,0.116,0.012,247,786
91.273766,17.7115,103.49056,113.039246,132.45015,0.504,0.1,0.011,248,316
91.88433,18.068651,103.82047,114.99686,135.2091,0.527,0.115,0.007,249,655
91.94637,18.878994,104.81801,115.76872,136.26057,0.53,0.096,0.009,250,89
92.04392,19.463348,105.10509,115.552635,139.40569,0.531,0.135,0.013,251,294
93.94428,19.067896,107.381035,118.89246,141.86679,0.607,0.172,0.019,252,1880
94.05,19.449387,106.88611,119.88176,138.63068,0.614,0.168,0.025,253,534
90.01944,17.805225,102.32864,113.01542,130.4778,0.467,0.08,0.009,254,878
90.95274,18.907381,103.87883,115.84809,134.68622,0.49,0.096,0.009,255,21
89.74155,19.448685,103.41522,113.767426,134.01102,0.453,0.101,0.011,256,40
91.150375,18.064146,104.09538,114.52382,134.46227,0.496,0.086,0.007,257,600
95.10614,18.808428,107.63689,119.28038,140.15172,0.641,0.183,0.02,258,1141
88.23103,17.980772,100.21323,111.34677,129.91817,0.393,0.04,0.0,259,598
94.304596,18.696001,107.03828,118.94061,138.97362,0.629,0.166,0.02,260,532
91.71913,18.373749,104.2642,114.82256,136.57304,0.523,0.107,0.017,261,1331
92.31569,18.07756,104.43053,116.17437,136.89719,0.553,0.099,0.008,262,254
92.67006,18.717318,105.65934,116.86232,138.48152,0.562,0.136,0.014,263,1127
93.139854,19.308674,106.08609,118.277016,141.59657,0.561,0.15,0.016,264,405
92.242546,18.438637,104.20579,115.24628,136.37802,0.548,0.117,0.014,265,723
93.44864,18.412304,106.15188,116.04406,140.16164,0.581,0.143,0.017,266,151
94.80829,19.414024,108.20708,120.79526,138.46977,0.631,0.21,0.042,267,1827
90.448074,17.585258,102.20862,113.13024,129.56201,0.477,0.072,0.005,268,1612
90.42098,20.261179,104.19494,115.184296,139.66797,0.467,0.132,0.012,269,1836
91.019485,18.516613,103.597374,115.21933,134.92236,0.51,0.069,0.004,270,1578
92.41671,18.140152,104.65029,115.328156,135.47705,0.551,0.101,0.011,271,412
93.18758,18.623697,105.49968,116.883415,137.4212,0.584,0.112,0.01,272,1901
91.58373,17.755816,103.444695,114.505394,134.68687,0.536,0.089,0.005,273,9
92.71277,19.197603,105.80992,117.75259,137.0462,0.564,0.151,0.024,274,788
89.66949,17.95489,102.68062,112.24921,128.87962,0.441,0.075,0.01,275,806
91.16858,17.891487,103.161125,114.8753,132.37001,0.492,0.083,0.006,276,1696
93.64345,19.50288,106.64302,117.9426,140.88768,0.59,0.155,0.014,277,1279
93.85703,19.062588,106.45601,118.48887,138.98206,0.615,0.139,0.016,278,1206
89.61736,17.557718,100.93992,112.10125,130.43881,0.463,0.071,0.005,279,1717
93.30298,19.311493,106.290344,118.47612,140.56367,0.567,0.153,0.02,280,1042
92.44844,18.784758,104.86339,117.15736,133.69908,0.559,0.124,0.019,281,802
92.54956,18.403418,105.38685,116.095566,134.1586,0.564,0.092,0.01,282,264
91.86612,19.368181,104.76657,117.07958,137.6144,0.537,0.15,0.027,283,1185
91.38497,18.85566,104.69289,115.63663,134.48024,0.518,0.127,0.016,284,268
91.54252,18.596485,104.72188,115.382065,135.18533,0.522,0.09,0.004,285,1687
92.674446,18.400745,104.738716,116.507095,136.18147,0.582,0.113,0.005,286,42
92.6463,18.15341,104.62671,116.4775,134.90935,0.561,0.108,0.004,287,496
88.86352,17.89056,100.40028,112.06719,131.35826,0.409,0.052,0.003,288,209
91.15537,17.737822,102.58284,114.084785,133.78978,0.504,0.075,0.005,289,1416
92.875046,18.203678,105.14375,116.95541,134.5274,0.569,0.133,0.018,290,1463
92.694084,18.373348,105.36528,116.51019,134.73495,0.555,0.105,0.011,291,1638
91.24668,19.81363,103.794525,117.736244,139.01065,0.502,0.138,0.021,292,994
93.170906,19.60196,106.8485,118.81053,138.72949,0.577,0.154,0.014,293,183
87.56655,18.200487,100.62799,110.472176,129.57245,0.377,0.066,0.006,294,970
88.65044,17.3143,99.846756,110.46536,131.87874,0.416,0.053,0.002,295,1942
93.20397,18.237709,105.871895,116.77387,134.73204,0.587,0.119,0.007,296,345
90.1743,17.55891,101.951935,112.40564,129.62367,0.454,0.066,0.002,297,100
91.756096,19.322895,104.48705,116.34835,138.81712,0.529,0.133,0.018,298,849
92.517235,18.58141,105.56772,116.47581,134.3128,0.572,0.116,0.003,299,454
93.189835,18.779598,105.78218,117.094315,136.59727,0.583,0.139,0.018,300,1972
92.487656,18.66096,104.610275,117.283005,135.95876,0.544,0.137,0.014,301,680
93.22431,19.5756,105.68409,119.2737,140.39941,0.588,0.156,0.019,302,566
91.211815,19.811052,105.03245,117.21905,136.68547,0.499,0.12,0.017,303,659
90.44864,18.67029,103.643684,115.406425,132.10023,0.472,0.105,0.008,304,177
93.86652,18.678682,106.18944,118.264595,137.39308,0.594,0.156,0.02,305,338
92.94773,19.246492,105.77791,116.93718,137.71742,0.584,0.176,0.025,306,1693
91.37868,18.498844,103.62408,115.479454,136.87129,0.511,0.111,0.008,307,597
91.454796,18.119328,104.13148,114.77278,133.2507,0.514,0.089,0.003,308,167
92.38644,18.597864,105.43521,116.44543,134.31273,0.55,0.104,0.015,309,1472
91.57282,18.422565,103.9092,114.77572,134.92827,0.507,0.087,0.004,310,1623
93.8053,19.280067,106.71376,119.67374,139.24966,0.602,0.179,0.021,311,22
92.703026,18.061205,104.88307,117.028145,135.1287,0.565,0.118,0.007,312,157
91.056625,18.202808,103.33472,114.64201,133.27357,0.497,0.082,0.008,313,1446
90.70475,17.714046,101.90726,114.15372,132.20078,0.472,0.068,0.009,314,1281
92.67155,20.0177,106.29963,118.08434,138.76727,0.561,0.153,0.027,315,49
94.28046,18.957554,107.31778,118.463486,138.96112,0.62,0.17,0.022,316,171
90.73989,18.045233,103.132065,114.11772,132.28688,0.485,0.099,0.012,317,1427
88.584465,17.547642,100.85702,111.321236,129.49265,0.414,0.043,0.002,318,1378
92.53095,19.057331,106.18112,118.00329,136.33765,0.534,0.143,0.013,319,415
93.001144,18.531265,105.87054,116.68631,137.07709,0.579,0.121,0.017,320,1891
94.11595,18.645134,107.01856,117.97085,137.55861,0.623,0.148,0.011,321,860
91.77111,18.282593,104.417496,114.53509,134.9911,0.527,0.11,0.005,322,1597
90.57677,17.725973,102.81752,114.46319,129.6507,0.48,0.077,0.002,323,836
94.776474,19.389668,108.170815,119.484436,141.64453,0.627,0.186,0.019,324,1405
92.700455,19.25065,106.00481,118.50346,137.06229,0.558,0.131,0.013,325,203
90.71164,18.533373,103.40724,114.44301,132.39384,0.478,0.088,0.009,326,363
92.50995,19.55614,105.77599,117.77234,137.95468,0.552,0.16,0.029,327,1810
91.904076,18.809671,104.08766,117.1705,134.82512,0.539,0.094,0.009,328,642
91.5386,19.613033,105.291214,116.92113,136.10785,0.492,0.123,0.013,329,1231
90.89344,18.252022,103.44646,115.81605,131.6297,0.471,0.079,0.008,330,1181
93.03122,18.31647,105.229416,117.68127,135.68866,0.587,0.102,0.009,331,1868
87.99573,17.534792,99.97849,111.08153,127.600655,0.371,0.047,0.004,332,91
93.16022,18.773472,106.45766,118.04741,135.03166,0.585,0.134,0.018,333,1876
88.984604,17.412458,100.03635,111.31756,131.35722,0.403,0.054,0.004,334,1823
91.09889,18.856527,103.675674,115.97011,135.01396,0.5,0.098,0.008,335,1998
