mean,std,p75,p90,p99,top_50pct_rate,top_10pct_rate,top_1pct_rate,lineup_id,rank_p99,selected_rank
91.36681,20.295319,105.39064,117.87223,140.18225,0.521,0.176,0.036,1378,1741,31
92.81653,19.318104,105.77298,117.4145,140.14601,0.562,0.127,0.014,1222,217,32
93.48323,19.736593,107.10246,118.996025,140.08199,0.592,0.174,0.035,1210,544,33
93.480484,19.154224,106.669876,119.267105,140.03525,0.578,0.183,0.028,1281,1729,34
93.94609,19.279171,107.09815,118.777885,140.02141,0.607,0.157,0.018,32,212,35
92.9796,19.461061,106.161026,117.83697,139.98091,0.559,0.158,0.025,1601,552,36
94.34434,19.00423,107.358475,119.23188,139.84972,0.623,0.175,0.011,30,1060,37
94.21013,19.023205,106.676834,118.2216,139.82349,0.629,0.158,0.025,883,288,38
94.80823,19.321373,108.24276,119.42579,139.7538,0.626,0.223,0.029,1970,791,39
93.47047,18.531794,105.694336,118.226494,139.70837,0.594,0.109,0.008,1767,1663,40
93.61031,19.804117,106.40773,118.707756,139.6849,0.578,0.166,0.031,133,884,41
92.33389,18.737774,105.131744,116.418015,139.61687,0.543,0.137,0.019,79,419,42
92.02571,18.87732,104.7406,115.3126,139.60312,0.531,0.107,0.005,343,328,43
94.13945,18.940641,106.97375,118.48557,139.57109,0.607,0.163,0.016,76,1835,44
94.19125,19.47643,107.64944,118.78219,139.5539,0.6,0.167,0.023,111,235,45
92.16658,19.714172,105.77504,117.621826,139.54439,0.546,0.154,0.027,112,1129,46
94.51764,19.301464,107.27111,119.21673,139.46706,0.619,0.177,0.031,110,1211,47
93.27545,19.626114,106.026,117.95409,139.41661,0.575,0.16,0.019,1101,1307,48
90.99675,19.201376,103.493645,115.57513,139.4068,0.496,0.086,0.005,1605,1440,49
93.32595,19.41292,106.25233,118.61284,139.4046,0.602,0.14,0.013,23,1586,50
92.538185,19.153158,105.45462,118.09396,139.35335,0.565,0.111,0.016,1146,1637,51
93.05026,18.876095,106.130486,116.24402,139.33905,0.561,0.143,0.019,126,1610,52
93.21348,19.05095,105.35006,117.655556,139.32004,0.578,0.159,0.027,1808,1045,53
93.39254,18.76903,106.17613,117.0673,139.2952,0.58,0.135,0.017,1984,382,54
92.827446,18.240034,105.12118,116.34345,139.24332,0.571,0.113,0.008,64,1639,55
93.808624,18.258162,105.81106,117.52791,139.02501,0.586,0.129,0.012,40,446,56
91.67707,20.091015,105.2829,117.098236,139.0159,0.51,0.159,0.03,608,1396,57
93.700066,19.002726,106.995766,118.70872,138.99962,0.609,0.146,0.018,222,348,58
94.304596,18.696001,107.03828,118.94061,138.97362,0.629,0.166,0.02,260,532,59
93.170906,19.60196,106.8485,118.81053,138.72949,0.577,0.154,0.014,293,183,60
93.43926,18.613605,106.957886,116.436874,138.57413,0.59,0.122,0.018,1835,1089,61
93.55773,18.519276,106.073326,116.5795,138.4541,0.606,0.14,0.019,41,325,62
93.17378,18.26691,105.21677,117.12836,138.40878,0.582,0.135,0.015,1462,109,63
93.01874,18.387117,104.87004,116.798294,138.18413,0.578,0.124,0.011,48,699,64
92.529236,18.453236,104.47406,116.70764,138.13243,0.568,0.105,0.009,414,662,65
91.78949,19.151136,104.72541,116.699265,137.71942,0.518,0.145,0.026,528,243,66
91.71574,18.790981,104.00676,116.38208,137.50275,0.524,0.149,0.022,172,225,67
92.49161,19.286417,105.74022,118.734795,137.45132,0.541,0.173,0.023,214,2,68
93.11454,18.839878,105.860146,117.18406,137.4317,0.575,0.156,0.023,594,798,69
91.79895,18.984459,104.67639,115.574265,137.19823,0.516,0.134,0.019,1223,368,70
93.27898,18.028435,104.71971,117.07299,136.77448,0.582,0.13,0.009,33,870,71
92.95266,18.3274,105.58422,117.6301,136.5975,0.592,0.128,0.012,432,1341,72
90.02028,18.999928,103.02974,114.573875,136.1887,0.464,0.106,0.014,1421,1919,73
90.546425,17.989967,102.372894,113.90233,135.56372,0.477,0.094,0.006,521,102,74
90.96035,18.068083,102.59641,115.129295,135.44414,0.496,0.082,0.01,1217,309,75
90.82477,17.977787,102.76658,114.56879,135.116,0.481,0.079,0.009,1541,421,76
90.353065,18.121096,102.03649,114.82948,134.5685,0.467,0.087,0.009,1129,362,77
91.29522,18.277317,104.7489,114.19246,134.04875,0.495,0.107,0.019,1191,1377,78
91.131645,17.871136,102.809006,114.93612,132.56476,0.499,0.095,0.005,1402,54,79
87.911736,18.2792,100.00028,111.79116,130.21649,0.398,0.069,0.012,739,1788,80
89.033966,17.388899,100.124,111.0639,130.19188,0.441,0.065,0.004,1194,1187,81
89.565704,18.08175,101.11059,113.70894,129.96492,0.439,0.075,0.007,1027,1018,82
88.08764,17.38058,99.44796,111.30047,129.21077,0.386,0.046,0.007,1749,1670,83
